chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
86959112590640,8021267,1155350915,1,AUTORIZADO,Autorizado
606622529002910,7825880,1155224390,1,AUTORIZADO,Autorizado
86959212590640,7825880,1155379030,1,AUTORIZADO,Autorizado
606623529002910,7825880,1155225593,1,AUTORIZADO,Autorizado
86959312590640,7825880,1155382202,1,AUTORIZADO,Autorizado
86959412590640,7360374,1155398169,3,AUTORIZADO,Autorizado
606624529002910,7809286,1155225771,1,AUTORIZADO,Autorizado
606625529002910,7825880,1155226500,1,AUTORIZADO,Autorizado
52924560300630,7809286,1155304286,2,AUTORIZADO,Autorizado
606626529002910,7825880,1155227605,1,AUTORIZADO,Autorizado
606627529002910,7825880,1155228006,1,AUTORIZADO,Autorizado
606628529002910,7743474,1155229026,1,AUTORIZADO,Autorizado
2786621350505,6627416,1155422283,1,AUTORIZADO,Autorizado
606629529002910,7825880,1155232595,1,AUTORIZADO,Autorizado
2786821350505,7920981,1155425486,1,AUTORIZADO,Autorizado
2786721350505,6662912,1155342276,1,AUTORIZADO,Autorizado
606630529002910,5866151,1155235407,3,AUTORIZADO,Autorizado
606631529002910,7636387,1155236060,1,AUTORIZADO,Autorizado
606632529002910,7825880,1155238456,1,AUTORIZADO,Autorizado
52924660300630,7809286,1155309351,2,AUTORIZADO,Autorizado
606633529002910,7825880,1155240404,1,AUTORIZADO,Autorizado
606634529002910,7871078,1155240774,1,AUTORIZADO,Autorizado
606635529002910,5866151,1155240802,1,AUTORIZADO,Autorizado
606636529002910,7777059,1155242302,1,AUTORIZADO,Autorizado
606637529002910,7636370,1155244370,3,AUTORIZADO,Autorizado
272939729002910,7922695,1155247239,1,AUTORIZADO,Autorizado
606638529002910,6016067,1155251603,1,AUTORIZADO,Autorizado
606639529002910,7871078,1155257294,2,AUTORIZADO,Autorizado
606640529002910,5866151,1155259038,3,AUTORIZADO,Autorizado
52924760300630,7809286,1155318043,2,AUTORIZADO,Autorizado
606641529002910,5866151,1155268650,3,AUTORIZADO,Autorizado
606642529002910,5866151,1155277189,2,AUTORIZADO,Autorizado
606643529002910,7825613,1155300476,1,AUTORIZADO,Autorizado
606644529002910,7825880,1155318886,1,AUTORIZADO,Autorizado
7133239550550,7774577,1155219476,1,AUTORIZADO,Autorizado
52924860300630,7809286,1155323370,2,AUTORIZADO,Autorizado
